sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary
train-0000,train,dr-edge-crit,2097,2926,270,79,395,3670
train-0001,train,lhs,1834,888,812,695,232,2627
train-0002,train,lhs,1669,1893,483,898,277,3551
train-0003,train,lhs,2177,395,640,619,1959,3613
train-0004,train,lhs,1935,565,1827,717,235,3344
train-0005,train,lhs,1918,1532,313,1508,309,3662
train-0006,train,lhs,1757,2300,57,392,424,3173
train-0007,train,lhs,2149,895,309,1844,406,3454
train-0008,train,dr-edge-haste,2075,181,2851,325,411,3768
train-0009,train,lhs,1778,309,1170,1139,8,2626
train-0010,train,lhs,2196,822,478,89,1384,2773
train-0011,train,lhs,1710,1398,232,1909,333,3872
train-0012,train,lhs,2011,1153,1695,26,243,3117
train-0013,train,lhs,2106,18,38,1638,987,2681
train-0014,train,lhs,1826,260,602,597,1511,2970
train-0015,train,lhs,2006,547,54,1635,664,2900
train-0016,train,dr-edge-mastery,1717,225,484,2033,105,2847
train-0017,train,lhs,1848,99,281,89,3248,3717
train-0018,train,lhs,2042,203,419,808,1876,3306
train-0019,train,lhs,1912,2805,62,493,421,3781
train-0020,train,lhs,1818,184,1060,571,1348,3163
train-0021,train,lhs,2120,992,426,1073,158,2649
train-0022,train,lhs,1721,1553,192,196,813,2754
train-0023,train,lhs,2071,1417,480,994,477,3368
train-0024,train,dr-edge-versatility,2299,104,438,290,2858,3690
train-0025,train,lhs,2167,870,141,671,1353,3035
train-0026,train,lhs,1836,1016,319,758,1089,3182
train-0027,train,lhs,1775,2020,328,1206,120,3674
train-0028,train,lhs,2200,483,644,1080,831,3038
train-0029,train,lhs,2164,487,362,2704,231,3784
train-0030,train,lhs,2080,933,626,720,1496,3775
train-0031,train,lhs,1954,582,472,1394,1449,3897
train-0032,train,dr-edge-crit,1753,2352,179,174,248,2953
train-0033,train,lhs,1629,709,1888,155,832,3584
train-0034,train,lhs,2111,379,1196,152,992,2719
train-0035,train,lhs,1760,1017,1570,328,820,3735
train-0036,train,lhs,1824,93,494,2639,663,3889
train-0037,train,lhs,2282,257,978,1429,161,2825
train-0038,train,lhs,1876,1753,407,913,213,3286
train-0039,train,lhs,2275,974,1507,718,243,3442
train-0040,train,dr-edge-haste,2236,106,2030,450,270,2856
train-0041,train,lhs,1775,1764,1342,100,250,3456
train-0042,train,lhs,1822,1200,718,264,653,2835
train-0043,train,lhs,1622,1152,163,2259,46,3620
train-0044,train,lhs,1957,816,659,2003,256,3734
train-0045,train,lhs,1853,1637,1293,96,383,3409
train-0046,train,lhs,2158,120,2108,38,339,2605
train-0047,train,lhs,2122,331,1031,2100,73,3535
train-0048,train,dr-edge-mastery,1927,133,492,2226,220,3071
train-0049,train,lhs,2142,1292,361,164,1205,3022
train-0050,train,lhs,1610,2663,24,847,298,3832
train-0051,train,lhs,1983,1417,1051,130,983,3581
train-0052,train,lhs,1815,1042,1205,107,976,3330
train-0053,train,lhs,1968,369,1113,1283,76,2841
train-0054,train,lhs,1644,1152,1251,370,193,2966
train-0055,train,lhs,1733,898,197,421,1893,3409
train-0056,train,dr-edge-versatility,1804,303,80,431,2883,3697
train-0057,train,lhs,1892,243,609,756,2152,3760
train-0058,train,lhs,2248,469,689,506,1267,2931
train-0059,train,lhs,2155,735,1827,53,218,2833
train-0060,train,lhs,2290,1584,394,875,131,2984
train-0061,train,lhs,1614,383,1280,892,880,3435
train-0062,train,lhs,1685,386,796,285,1447,2914
train-0063,train,lhs,1790,24,107,1856,1014,3001
train-0064,train,dr-edge-crit,2266,2605,150,251,73,3079
train-0065,train,lhs,1762,604,903,28,1223,2758
train-0066,train,lhs,1933,80,463,1963,1065,3571
train-0067,train,lhs,2053,21,787,1513,838,3159
train-0068,train,lhs,1796,1107,1049,710,266,3132
train-0069,train,lhs,2050,304,2108,780,33,3225
train-0070,train,lhs,1708,32,1091,351,1470,2944
train-0071,train,lhs,1712,459,1805,128,668,3060
train-0072,train,dr-edge-haste,2118,110,2555,281,169,3115
train-0073,train,lhs,2184,1042,555,269,1679,3545
train-0074,train,lhs,2055,947,1427,1106,69,3549
train-0075,train,lhs,1725,998,505,558,1639,3700
train-0076,train,lhs,1674,100,178,2025,939,3242
train-0077,train,lhs,1665,1674,1044,375,660,3753
train-0078,train,lhs,1980,693,660,258,1283,2894
train-0079,train,lhs,2289,1479,1050,821,511,3861
train-0080,train,dr-edge-mastery,1601,295,214,2452,299,3260
train-0081,train,lhs,2226,211,1597,1020,406,3234
train-0082,train,lhs,1726,1199,1363,29,346,2937
train-0083,train,lhs,1691,338,727,579,1444,3088
train-0084,train,lhs,2255,2083,628,347,470,3528
