sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0000,train,dr-edge-crit,2097,2926,270,79,395,3670,268068.71432895656,268148.319228352,14064.545719489464,710.3668323256593,1392.293407787282,50,0.005193792984282193
train-0001,train,lhs,1834,888,812,695,232,2627,261449.32584942543,261463.63100777616,14358.180052321513,725.1976057495685,1421.3611895739032,50,0.005436469132043191
train-0002,train,lhs,1669,1893,483,898,277,3551,273938.18005811813,274359.80649577355,14314.993108155762,723.0163356725452,1417.0859787804873,50,0.005173013774421081
train-0003,train,lhs,2177,395,640,619,1959,3613,294996.681224818,294831.69841559726,17277.297333954662,872.6352932439715,1710.3337471549025,50,0.00579780674160009
train-0004,train,lhs,1935,565,1827,717,235,3344,257000.81639523982,256353.41820893827,13805.484799025919,697.2822799256448,1366.6481563180582,50,0.005317680213965933
train-0005,train,lhs,1918,1532,313,1508,309,3662,307261.9717747249,307904.61993081885,18136.528822261273,916.0330369575868,1795.391761881593,50,0.005843195470990206
train-0006,train,lhs,1757,2300,57,392,424,3173,246785.12096830574,246669.26534852275,13738.763983865832,693.9123698652169,1360.0432539655524,50,0.005511042353887376
train-0007,train,lhs,2149,895,309,1844,406,3454,299278.81844643,298541.4764645141,18425.02681335744,930.6043859477866,1823.9510811212087,50,0.006094487710788962
train-0008,train,dr-edge-haste,2075,181,2851,325,411,3768,245121.58268433652,245187.40875722078,12609.85320738623,636.8937651935528,1248.288842310824,50,0.00509252930174798
train-0009,train,lhs,1778,309,1170,1139,8,2626,255220.59538116888,255673.40982223515,15089.092759708752,762.1142723102068,1493.7165264941025,50,0.005852648859561098
train-0010,train,lhs,2196,822,478,89,1384,2773,267640.1401912028,266035.5795431922,17694.069909788996,893.685487142903,1751.591369082682,50,0.006544576489279002
train-0011,train,lhs,1710,1398,232,1909,333,3872,288915.32927268697,288213.1389290978,17879.3541198833,903.0437529575084,1769.9332330451916,50,0.006126131270018821
train-0012,train,lhs,2011,1153,1695,26,243,3117,253830.1971047434,253191.27416391365,13270.72835715803,670.2730009022181,1313.7109421602822,50,0.005175550258183732
train-0013,train,lhs,2106,18,38,1638,987,2681,259407.28770938888,259534.38510357062,16644.250580622764,840.6616038090348,1647.666467381778,50,0.006351658359065226
train-0014,train,lhs,1826,260,602,597,1511,2970,253541.3165969758,253072.37839403734,14826.319790594147,748.8422331406739,1467.703807708882,50,0.005788815122554225
train-0015,train,lhs,2006,547,54,1635,664,2900,266367.31493925967,266183.97973291465,17245.734182267992,871.0411133444526,1707.2092119655827,50,0.006409229346907226
train-0016,train,dr-edge-mastery,1717,225,484,2033,105,2847,243979.07817297874,244453.43619659115,15825.086645400761,799.2875771305394,1566.5748651605807,50,0.006420939356324212
train-0017,train,lhs,1848,99,281,89,3248,3717,239954.29230111232,239029.50285471557,16139.630509274979,815.1744413538306,1597.7125468793124,50,0.006658403696627293
train-0018,train,lhs,2042,203,419,808,1876,3306,273416.3028874394,273786.87474614545,16916.252215373384,854.3997609823199,1674.5927606673035,50,0.006124699745342924
train-0019,train,lhs,1912,2805,62,493,421,3781,267051.7056556308,266971.5429295114,14147.513722237221,714.5573492802623,1400.5066700985492,50,0.005244327747917605
train-0020,train,lhs,1818,184,1060,571,1348,3163,263448.1508168382,263580.19248789106,15880.924548161081,802.1078171083292,1572.102433947259,50,0.005967407359181883
train-0021,train,lhs,2120,992,426,1073,158,2649,282934.6055145624,283165.20643316914,16280.293867328142,822.2790138069638,1611.6372530191816,50,0.0056961475252847145
train-0022,train,lhs,1721,1553,192,196,813,2754,239516.7061502968,239488.78242751566,13592.162201182215,686.5078616745295,1345.53068458214,50,0.005617690332372136
train-0023,train,lhs,2071,1417,480,994,477,3368,303863.2058280968,304669.4604009861,17176.69483844363,867.5540999025328,1700.3747912027832,50,0.005595856156946915
train-0024,train,dr-edge-versatility,2299,104,438,290,2858,3690,280174.2369034739,280429.6629720773,18218.618889113743,920.1792114532609,1803.5181145703352,50,0.0064371304603273935
train-0025,train,lhs,2167,870,141,671,1353,3035,281449.47498104186,282048.2635747838,17865.21920061576,902.3298317242511,1768.5339731395886,50,0.006283664139926768
train-0026,train,lhs,1836,1016,319,758,1089,3182,274744.08148591925,274091.35277164675,17544.818424352772,886.1471487533231,1736.81649732928,50,0.006321579296398028
train-0027,train,lhs,1775,2020,328,1206,120,3674,287008.89864593686,286272.59764973086,14954.096036597606,755.2959081423601,1480.3527782857204,50,0.005157863694365553
train-0028,train,lhs,2200,483,644,1080,831,3038,300363.0991338879,299138.7009568179,18949.358633661068,957.0871420712566,1875.8563293575764,50,0.006245295559829761
train-0029,train,lhs,2164,487,362,2704,231,3784,297153.29639099713,296891.6525430301,18042.94357799783,911.3062683263239,1786.1274655969573,50,0.0060107947220843
train-0030,train,lhs,2080,933,626,720,1496,3775,316568.40941457386,315515.6758136852,19339.484605919424,976.7914792498908,1914.4761205840528,50,0.0060475905480413235
train-0031,train,lhs,1954,582,472,1394,1449,3897,314084.6626123352,313185.7153977063,19546.018675171326,987.2230250294673,1934.9215746241666,50,0.006160509585316426
train-0032,train,dr-edge-crit,1753,2352,179,174,248,2953,234310.4320779649,235314.60285043766,13287.179940067206,671.103931319099,1315.3395358517496,50,0.005613661859554256
train-0033,train,lhs,1629,709,1888,155,832,3584,242837.9972839284,242797.48045769546,15067.81066964166,761.0393644384736,1491.609745777873,50,0.006142406717486924
train-0034,train,lhs,2111,379,1196,152,992,2719,247671.31748141817,247395.37930261166,13883.345925499221,701.2148606770803,1374.3558729605838,50,0.005549111972013862
train-0035,train,lhs,1760,1017,1570,328,820,3735,267600.464773771,267642.8207716392,13859.68302866978,700.0197039048935,1372.0134087301803,50,0.005127096508931994
train-0036,train,lhs,1824,93,494,2639,663,3889,278454.94714442035,279633.37354503444,16996.516472204974,858.4537181460709,1682.5383707066458,50,0.00604240789384862
train-0037,train,lhs,2282,257,978,1429,161,2825,290660.33744302916,291392.0757008375,17462.10355421787,881.9694169263691,1728.628293407754,50,0.0059472451887130065
train-0038,train,lhs,1876,1753,407,913,213,3286,280052.9479379562,279771.86123847007,15876.688740143456,801.8938764959673,1571.6831180520135,50,0.005612092747547899
train-0039,train,lhs,2275,974,1507,718,243,3442,293354.4554096886,294041.9370607997,15710.470253326628,793.4985751254854,1555.2286297192152,50,0.005301534035156334
train-0040,train,dr-edge-haste,2236,106,2030,450,270,2856,240053.93151551575,239764.598870811,12902.787460875079,651.689179270966,1277.2873210517655,50,0.0053208348348554695
train-0041,train,lhs,1775,1764,1342,100,250,3456,270295.3585578619,270112.1036472068,13853.198853760317,699.6922036156876,1371.3715199581256,50,0.00507360365814257
train-0042,train,lhs,1822,1200,718,264,653,2835,260624.36530906742,260356.80752735733,13408.800541807395,677.2466993349901,1327.3791399336178,50,0.005093073851170878
train-0043,train,lhs,1622,1152,163,2259,46,3620,268781.7911954879,268794.2559260459,15804.265977154382,798.2359745801215,1564.5137620347975,50,0.0058207580025274475
train-0044,train,lhs,1957,816,659,2003,256,3734,304185.75228434784,304772.37780886923,16583.515875294015,837.5940379525116,1641.6541487801226,50,0.005396880479942832
train-0045,train,lhs,1853,1637,1293,96,383,3409,275126.67383544426,274695.6465848428,14026.194372184646,708.429796772311,1388.4968878642626,50,0.005046754894782521
train-0046,train,lhs,2158,120,2108,38,339,2605,222201.9634442938,222040.26154601522,12366.738052783901,624.6145955915155,1224.2221121201035,50,0.005509501775518815
train-0047,train,lhs,2122,331,1031,2100,73,3535,303154.13715829514,302777.43501453067,17810.489279145546,899.5655532524372,1763.1160868891923,50,0.005815906401331949
train-0048,train,dr-edge-mastery,1927,133,492,2226,220,3071,257048.93868378998,256597.85687534887,15293.33144980157,772.4298839348703,1513.9347537659082,50,0.005889675178267445
train-0049,train,lhs,2142,1292,361,164,1205,3022,282861.2984497743,283028.01327119,16067.059742094338,811.5090640974491,1590.528539463868,50,0.005622998084859202
train-0050,train,lhs,1610,2663,24,847,298,3832,257784.1040876812,257246.04101760444,14605.828863245622,737.7057595750845,1445.8767205958686,50,0.005608866868315808
train-0051,train,lhs,1983,1417,1051,130,983,3581,298509.83551271167,298766.0967726997,15704.71080027807,793.2076788178739,1554.6584834328082,50,0.005208064520763857
train-0052,train,lhs,1815,1042,1205,107,976,3330,261767.5850081655,261496.82609687414,14428.30376250504,728.7393879633352,1428.3029551570476,50,0.005456378241456036
train-0053,train,lhs,1968,369,1113,1283,76,2841,274050.40688982443,273472.66557733243,15761.478666883824,796.074889062904,1560.2781122516626,50,0.005693398269169278
train-0054,train,lhs,1644,1152,1251,370,193,2966,241376.7208440794,240815.60964369393,13880.950860874644,701.093891645836,1374.1187780159953,50,0.0056928388670240745
train-0055,train,lhs,1733,898,197,421,1893,3409,256301.31363645132,256431.42970265535,17630.143347810626,890.4567081805567,1745.2630785996373,50,0.006809419170887249
train-0056,train,dr-edge-versatility,1804,303,80,431,2883,3697,246003.7150600625,244872.06392690417,16005.072458442384,808.3782334819041,1584.392224212984,50,0.006440521533693709
train-0057,train,lhs,1892,243,609,756,2152,3760,279368.9002335973,278447.1720934969,17816.22624500866,899.8553137856688,1763.6840070987191,50,0.0063131007267594776
train-0058,train,lhs,2248,469,689,506,1267,2931,282663.14836667065,281943.6859280001,17522.8297784755,885.036554424114,1734.6397724416308,50,0.006136773691459263
train-0059,train,lhs,2155,735,1827,53,218,2833,245078.58848952653,244545.14225389113,13186.655848860235,666.0266979930229,1305.3883413871226,50,0.005326407131004464
train-0060,train,lhs,2290,1584,394,875,131,2984,297796.4096387992,297464.28199159785,16633.55233594908,840.1212608550666,1646.6074146522308,50,0.0055293057987147
train-0061,train,lhs,1614,383,1280,892,880,3435,251285.52902367548,250534.9140686109,14986.159197138559,756.9153423027016,1483.5268109167307,50,0.005903749478454673
train-0062,train,lhs,1685,386,796,285,1447,2914,243438.28171621737,242310.06158683298,14986.950391724708,756.9553036639232,1483.605133745533,50,0.006094378925476528
train-0063,train,lhs,1790,24,107,1856,1014,3001,252360.83266399417,252175.90925580537,15985.54122334628,807.3917571403753,1582.4587661111298,50,0.006270619530797374
train-0064,train,dr-edge-crit,2266,2605,150,251,73,3079,267752.6909602501,268160.5633612625,14975.999277473478,756.4021888675952,1482.5210486649335,50,0.005536904384968534
train-0065,train,lhs,1762,604,903,28,1223,2758,244872.59598087336,244256.91688078188,14765.973890987892,745.7943049386464,1461.729978202796,50,0.005969348968379334
train-0066,train,lhs,1933,80,463,1963,1065,3571,286621.84008837456,286706.2288966317,17338.127459685526,875.7076785585945,1716.3555117208625,50,0.005988223057920694
train-0067,train,lhs,2053,21,787,1513,838,3159,288544.8920712493,289930.9275553443,16281.285706028873,822.3291092263303,1611.7354382369738,50,0.0055857354696786455
train-0068,train,lhs,1796,1107,1049,710,266,3132,277864.1490146402,277402.3306912835,15005.531992768189,757.8938162427196,1485.4445845998273,50,0.005345938257481218
train-0069,train,lhs,2050,304,2108,780,33,3225,251828.01282648506,252309.44049538084,13177.707118593164,665.5747188605333,1304.5024785652865,50,0.005180132519506941
train-0070,train,lhs,1708,32,1091,351,1470,2944,242658.64740270106,241121.89400484558,14460.952809788236,730.3884138728514,1431.5349865507055,50,0.005899377590179261
train-0071,train,lhs,1712,459,1805,128,668,3060,227142.13908187186,226710.59790470303,12666.273963608408,639.7434437167225,1253.87410958623,50,0.005520217933380821
train-0072,train,dr-edge-haste,2118,110,2555,281,169,3115,228820.02791479338,227920.17284039225,12216.554794169555,617.0291955495943,1209.355001223019,50,0.00528517985179755
train-0073,train,lhs,2184,1042,555,269,1679,3545,300779.0307675142,301608.04068598826,19443.984816336288,982.0695369228325,1924.8209235359295,50,0.006399451845510172
train-0074,train,lhs,2055,947,1427,1106,69,3549,294017.17280142923,294234.41138816695,16298.575624539966,823.2023819852842,1613.4470213939621,50,0.005487594503480373
train-0075,train,lhs,1725,998,505,558,1639,3700,281118.77852062107,280966.8215773872,16088.259903480208,812.5798339458919,1592.6272098034774,50,0.0056653177642014135
train-0076,train,lhs,1674,100,178,2025,939,3242,249670.30652738173,249336.4662557456,15756.60029908128,795.8284942804539,1559.7951873518678,50,0.006247419683368725
train-0077,train,lhs,1665,1674,1044,375,660,3753,282551.9553731599,282530.3942277451,15025.983145153881,758.9267554237912,1487.4691081938452,50,0.005264409181771114
train-0078,train,lhs,1980,693,660,258,1283,2894,265397.45872756775,264863.38849234406,16498.33625629811,833.2918175088765,1633.221951653308,50,0.006153871855004539
train-0079,train,lhs,2289,1479,1050,821,511,3861,345031.32046834554,344435.8803148569,16551.71336692856,835.9877687150864,1638.5059189238991,50,0.00474886139814725
train-0080,train,dr-edge-mastery,1601,295,214,2452,299,3260,237100.81411094568,237234.00453572485,15287.457527060144,772.1332060346825,1513.3532757662733,50,0.006382741794628068
train-0081,train,lhs,2226,211,1597,1020,406,3234,269748.15844618424,269557.5937982401,14411.278757683825,727.8794953662771,1426.617596635494,50,0.005288701894586277
train-0082,train,lhs,1726,1199,1363,29,346,2937,237738.61024633053,237863.80701748576,13465.333988365217,680.1020695796246,1332.9755627781096,50,0.005606895579127682
train-0083,train,lhs,1691,338,727,579,1444,3088,251945.225201814,252085.52958567682,15891.762245772617,802.6552034992983,1573.1752915596614,50,0.006244116316550597
train-0084,train,lhs,2255,2083,628,347,470,3528,304074.8887581468,303591.516535374,15537.491775951288,784.761842671812,1538.1049487598623,50,0.005058309665232602
train-0085,train,lhs,1631,115,1664,176,758,2713,211003.63518136417,210690.3761389195,11615.463339071986,586.6694924058243,1149.851076453525,50,0.005449437283225914
train-0086,train,lhs,1903,1637,67,1152,175,3031,267770.9851406492,268278.1953930463,15132.231922976975,764.2931290874692,1497.987007306901,50,0.0055942842594393465
train-0087,train,lhs,2143,113,1460,487,1391,3451,274042.5393937365,273635.6415104567,14505.998785627475,732.6635792286437,1435.9942287089084,50,0.005240041315796278
train-0088,train,dr-edge-versatility,1867,430,137,455,2573,3595,253808.13456075432,252858.22321447663,17842.99135390325,901.2071559284233,1766.333569012476,50,0.006959326075459835
train-0089,train,lhs,2220,460,520,159,1982,3121,269450.4168747605,269188.8410491106,17182.702027679235,867.8575087771305,1700.9694616698482,50,0.006312736426236267
