sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0000,train,dr-edge-crit,2097,2926,270,79,395,3670,222860.01194457858,222931.49082737986,6653.600417129794,336.0575695898656,658.6607334201755,50,0.0029554908826980274
train-0001,train,lhs,1834,888,812,695,232,2627,202258.5509360666,202268.8697799152,6402.220858291227,323.3609845394061,633.7758839835941,50,0.003133493644893802
train-0002,train,lhs,1669,1893,483,898,277,3551,218783.93122215034,218307.4807860891,6861.135078855205,346.539652921101,679.2052392414516,50,0.0031044566913453783
train-0003,train,lhs,2177,395,640,619,1959,3613,239956.68658871306,239515.34819040957,8001.365804924759,404.1300013868896,792.080248141545,50,0.0033009300945181595
train-0004,train,lhs,1935,565,1827,717,235,3344,219781.9460677353,219471.34464189617,6256.853724952661,316.0188355575954,619.3855364037387,50,0.002818182054921146
train-0005,train,lhs,1918,1532,313,1508,309,3662,240698.83322137108,240597.17103249233,7299.164084431278,368.6634586496181,722.5671016895279,50,0.0030019551487604507
train-0006,train,lhs,1757,2300,57,392,424,3173,198497.5953575614,198199.14360524178,6747.8533342370465,340.8180607922336,667.9911247296726,50,0.003365235349709876
train-0007,train,lhs,2149,895,309,1844,406,3454,241498.32718801426,241414.51988880616,7568.419865062776,382.2629292466331,749.2215742803044,50,0.00310238825669799
train-0008,train,dr-edge-haste,2075,181,2851,325,411,3768,218349.3890889298,218012.7803165947,6459.1498883458435,326.2363347678341,639.4114668767502,50,0.002928386791209795
train-0009,train,lhs,1778,309,1170,1139,8,2626,198811.6316469715,198763.58580143395,6344.5252740224905,320.44691747648153,628.0644174891956,50,0.0031590929176842403
train-0010,train,lhs,2196,822,478,89,1384,2773,213664.49983515005,213710.5299738873,7301.100713588801,368.7612731931845,722.7588146721672,50,0.0033826808628939385
train-0011,train,lhs,1710,1398,232,1909,333,3872,230267.9646299582,229827.94408040505,7674.174604515062,387.6043502044423,759.6905669885185,50,0.0032991587353861625
train-0012,train,lhs,2011,1153,1695,26,243,3117,215451.6695196106,215300.35958318075,5945.813102130703,300.30891172746016,588.5946514831568,50,0.002731910375981479
train-0013,train,lhs,2106,18,38,1638,987,2681,204406.89333745194,204531.694856549,7389.700529718251,373.2362396786856,731.5295878196612,50,0.003578791183974364
train-0014,train,lhs,1826,260,602,597,1511,2970,201969.7740234814,201809.08708622187,6547.332310521065,330.6902196750879,648.1409208901239,50,0.0032090986090560743
train-0015,train,lhs,2006,547,54,1635,664,2900,211130.41387522026,211528.5170844778,6958.558197636655,351.46026348786563,688.8494587385327,50,0.0032626728006399314
train-0016,train,dr-edge-mastery,1717,225,484,2033,105,2847,192989.22280173193,192856.26576712768,6317.679376197117,319.090994876527,625.4068580262829,50,0.0032406309997361693
train-0017,train,lhs,1848,99,281,89,3248,3717,196132.88650408125,196130.78009844787,7018.41538560553,354.48350802469054,694.7749091497936,50,0.003542368246007211
train-0018,train,lhs,2042,203,419,808,1876,3306,220508.603964121,220290.43311240472,7408.293651389182,374.17533413703853,733.37017913693,50,0.003325812081492552
